fixture_id,category_key,category_display_name,brand_candidate_display_name,brand_candidate_key,source_product_id,image_count,detail_page_count,review_count,decision,reviewed_manufacturer,reviewed_product_name,reason_codes
brand_b9b12dfa88a5561105414177,bcaa_eaa,BCAA_EAA,나우푸드,나우푸드,10356752201,503,3,500,,,,
brand_fca17ff53fb9a2d8cb6a7b9b,bcaa_eaa,BCAA_EAA,뉴트리코스트,뉴트리코스트,13075736980,100,5,95,,,,
brand_2b22d37e442b1fc42543e277,bcaa_eaa,BCAA_EAA,삼대오백,삼대오백,11235198438,507,10,497,,,,
brand_564c04aa0435ae83f4028821,hmb_타우린,HMB_타우린,뉴트리코스트,뉴트리코스트,11537232565,81,9,72,,,,
brand_9cf7faec8ad5924f4822b1e5,hmb_타우린,HMB_타우린,뉴트리코스트,뉴트리코스트,736016173,506,6,500,,,,
brand_d8e35da61a1e1b771a379bf6,강황_커큐민,강황_커큐민,수용성,수용성,11750832074,397,1,396,,,,
brand_aebe7913dd632a3dd4503a35,강황_커큐민,강황_커큐민,수용성,수용성,12176974394,124,3,121,,,,
brand_9a0c1f72fa89d3d225175771,강황_커큐민,강황_커큐민,수용성,수용성,5383085718,501,2,499,,,,
brand_071748461e99a8efaaebc24e,강황_커큐민,강황_커큐민,수용성,수용성,5404609638,277,43,234,,,,
brand_0488f209f25d38c57ad843d5,강황_커큐민,강황_커큐민,쏜리서치,쏜리서치,12166843289,530,32,498,,,,
brand_310b437d7bc6d537429b34dd,강황_커큐민,강황_커큐민,쏜리서치,쏜리서치,12381898272,413,13,400,,,,
brand_14facc9ae6605120169714d6,강황_커큐민,강황_커큐민,쏜리서치,쏜리서치,12381444074,183,6,177,,,,
brand_a5feb14dfd185da6fc133566,관절_msm_콘드로이친,관절_MSM_콘드로이친,닥터스베스트,닥터스베스트,8735610167,333,34,299,,,,
brand_ad1ded157cccabe2aa45a769,관절_msm_콘드로이친,관절_MSM_콘드로이친,닥터스베스트,닥터스베스트,8670233351,497,35,462,,,,
brand_7eae8f06b96ce29373455603,관절_msm_콘드로이친,관절_MSM_콘드로이친,닥터린,닥터린,12781058111,104,38,66,,,,
brand_68c7e047164dc89194d66f25,관절_msm_콘드로이친,관절_MSM_콘드로이친,닥터린,닥터린,13243080751,94,35,59,,,,
brand_2ce841929fed86d7d3f4bf2b,관절_msm_콘드로이친,관절_MSM_콘드로이친,종근당,종근당,9627232969,495,1,494,,,,
brand_6b4ce633eaf80e7ecf7d91a8,관절_msm_콘드로이친,관절_MSM_콘드로이친,내츄럴플러스,내츄럴플러스,6970474693,500,2,498,,,,
brand_e1ce32aa661b667e97c71251,관절_msm_콘드로이친,관절_MSM_콘드로이친,락티브,락티브,11529382815,500,2,498,,,,
brand_2d8ddd72d979ee44921d0390,관절_msm_콘드로이친,관절_MSM_콘드로이친,내츄럴플러스,내츄럴플러스,9239168849,499,2,497,,,,
brand_576dfc69f37724fff964cf6f,관절_msm_콘드로이친,관절_MSM_콘드로이친,쏜리서치,쏜리서치,13331781486,12,12,0,,,,
brand_a26a3bcbaf3d8ef59df188e5,관절_msm_콘드로이친,관절_MSM_콘드로이친,종근당,종근당,13110399062,493,3,490,,,,
brand_80346212b869d31ca99ae44d,글루코사민,글루코사민,내츄럴플러스,내츄럴플러스,9925196160,124,35,89,,,,
brand_5409b308fb1f33e55a9cc1e8,기타,기타,네츄럴펙터스,네츄럴펙터스,9198408459,443,35,408,,,,
brand_0428aeea296bfba0dd5fcdae,기타,기타,파라다이스허브,파라다이스허브,8785090762,57,34,23,,,,
brand_eb825cfb7cd3ae28374af4f0,기타,기타,내츄럴플러스,내츄럴플러스,12944881470,12,12,0,,,,
brand_3d8697d19782d75bdd96c35d,기타,기타,종근당,종근당,9031480939,497,2,495,,,,
brand_3e815aa05f26d8e5d0b5ca43,기타,기타,내츄럴플러스,내츄럴플러스,12175888146,102,33,69,,,,
brand_a8ff666e7cb023df7a5ebf59,기타,기타,락티브,락티브,10913547230,500,2,498,,,,
brand_e93ccd323246b78fdc827113,기타,기타,닥터린,닥터린,12477709414,512,14,498,,,,
brand_ba78dcb5bb8f8f488aecf43c,기타,기타,닥터린,닥터린,12368731896,495,2,493,,,,
brand_469b4dea6ab4201ced5ab72a,기타,기타,조인트,조인트,2045938793,2,2,0,,,,
brand_95eff717c9f62fe49490a019,기타,기타,닥터린,닥터린,12913969396,499,5,494,,,,
brand_c1edef07a305c853d2cc81e4,기타,기타,종근당,종근당,12696565274,498,1,497,,,,
brand_bc70afc87ac80bba5dfd9b9f,기타,기타,고려은단,고려은단,10062232487,492,2,490,,,,
brand_8cf3c38720ec3e688680a8da,기타,기타,나우푸드,나우푸드,11863305144,147,2,145,,,,
brand_fa1657bd55101a8c0db65692,기타,기타,내츄럴플러스,내츄럴플러스,11779038264,268,1,267,,,,
brand_9d0f0a8d84cb67230fd7cd2d,기타,기타,내츄럴플러스,내츄럴플러스,8201255622,372,4,368,,,,
brand_4a485625afdee47b7f5392b1,기타,기타,내츄럴플러스,내츄럴플러스,11175111233,43,4,39,,,,
brand_0261ff59b17ae0f9a73c7728,기타,기타,내츄럴플러스,내츄럴플러스,12929931000,94,9,85,,,,
brand_1ba47fb9d1f8d8fa8ba8e772,기타,기타,내츄럴플러스,내츄럴플러스,12939691258,424,28,396,,,,
brand_92352a3743b56f0d50382d49,기타,기타,내츄럴플러스,내츄럴플러스,11106721312,238,2,236,,,,
brand_079c8865f77d331129ad06ee,기타,기타,내츄럴플러스,내츄럴플러스,8566457451,117,17,100,,,,
brand_7fa48f2bee407ed5aacec207,기타,기타,내츄럴플러스,내츄럴플러스,12422524379,303,4,299,,,,
brand_a8805924bf315256ed523993,기타,기타,내츄럴플러스,내츄럴플러스,11774630571,497,2,495,,,,
brand_a5b0067adfe3795de3ad5b68,기타,기타,내츄럴플러스,내츄럴플러스,12929977171,83,31,52,,,,
